"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"dnpm-lm-care-plan.medicationRecommendations.levelOfEvidence.publications.doi","dnpm-lm-care-plan.medicationRecommendations.levelOfEvidence.publications.doi","","","",0,1,"","","","string {[]} {[]}
","Digital Object Identifier","Digital Object Identifier","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.medicationRecommendations.levelOfEvidence.publications.doi",0,1,"",""
"dnpm-lm-care-plan.studyEnrollmentRecommendations","dnpm-lm-care-plan.studyEnrollmentRecommendations","","","",0,*,"","","","BackboneElement {[]} {[]}
","Clinical study enrollment recommendations","Clinical study enrollment recommendations","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.studyEnrollmentRecommendations",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.id","dnpm-lm-care-plan.studyEnrollmentRecommendations.id","","","",1,1,"","","","string {[]} {[]}
","Recommendation UUID","Recommendation UUID","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan.studyEnrollmentRecommendations.extension","dnpm-lm-care-plan.studyEnrollmentRecommendations.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.modifierExtension","dnpm-lm-care-plan.studyEnrollmentRecommendations.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.patient","dnpm-lm-care-plan.studyEnrollmentRecommendations.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patient reference","Patient reference","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.studyEnrollmentRecommendations.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.patient.id","dnpm-lm-care-plan.studyEnrollmentRecommendations.patient.id","","","",1,1,"","","","string {[]} {[]}
","Patient ID","Patient ID","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan.studyEnrollmentRecommendations.patient.extension","dnpm-lm-care-plan.studyEnrollmentRecommendations.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.patient.modifierExtension","dnpm-lm-care-plan.studyEnrollmentRecommendations.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.patient.type","dnpm-lm-care-plan.studyEnrollmentRecommendations.patient.type","","","",1,1,"","","","string {[]} {[]}
","Reference type (Patient)","Reference type (Patient)","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.studyEnrollmentRecommendations.patient.type",1,1,"",""
"dnpm-lm-care-plan.studyEnrollmentRecommendations.issuedOn","dnpm-lm-care-plan.studyEnrollmentRecommendations.issuedOn","","","",1,1,"","","","string {[]} {[]}
","Recommendation date (YYYY-MM-DD)","Recommendation date (YYYY-MM-DD)","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.studyEnrollmentRecommendations.issuedOn",1,1,"",""
"dnpm-lm-care-plan.studyEnrollmentRecommendations.indication","dnpm-lm-care-plan.studyEnrollmentRecommendations.indication","","","",0,1,"","","","BackboneElement {[]} {[]}
","Indication (MTBDiagnosis) reference","Indication (MTBDiagnosis) reference","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.studyEnrollmentRecommendations.indication",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.indication.id","dnpm-lm-care-plan.studyEnrollmentRecommendations.indication.id","","","",1,1,"","","","string {[]} {[]}
","Diagnosis ID","Diagnosis ID","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan.studyEnrollmentRecommendations.indication.extension","dnpm-lm-care-plan.studyEnrollmentRecommendations.indication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.indication.modifierExtension","dnpm-lm-care-plan.studyEnrollmentRecommendations.indication.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.indication.type","dnpm-lm-care-plan.studyEnrollmentRecommendations.indication.type","","","",1,1,"","","","string {[]} {[]}
","Reference type (MTBDiagnosis)","Reference type (MTBDiagnosis)","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.studyEnrollmentRecommendations.indication.type",1,1,"",""
"dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants","dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants","","","",0,*,"","","","BackboneElement {[]} {[]}
","Variants supporting enrollment","Variants supporting enrollment","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants.id","dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants.id","","","",1,1,"","","","string {[]} {[]}
","Variant ID","Variant ID","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants.extension","dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants.modifierExtension","dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants.type","dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants.type","","","",1,1,"","","","string {[]} {[]}
","Variant type","Variant type","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.studyEnrollmentRecommendations.supportingVariants.type",1,1,"",""
"dnpm-lm-care-plan.studyEnrollmentRecommendations.studies","dnpm-lm-care-plan.studyEnrollmentRecommendations.studies","","","",0,*,"","","","BackboneElement {[]} {[]}
","Recommended studies","Recommended studies","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.studyEnrollmentRecommendations.studies",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.studies.id","dnpm-lm-care-plan.studyEnrollmentRecommendations.studies.id","","","",1,1,"","","","string {[]} {[]}
","Study identifier (e.g. NCT number)","Study identifier (e.g. NCT number)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dnpm-lm-care-plan.studyEnrollmentRecommendations.studies.extension","dnpm-lm-care-plan.studyEnrollmentRecommendations.studies.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.studies.modifierExtension","dnpm-lm-care-plan.studyEnrollmentRecommendations.studies.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dnpm-lm-care-plan.studyEnrollmentRecommendations.studies.system","dnpm-lm-care-plan.studyEnrollmentRecommendations.studies.system","","","",1,1,"","","","string {[]} {[]}
","Study registry system URI (e.g. https://clinicaltrials.gov/study)","Study registry system URI (e.g. https://clinicaltrials.gov/study)","","","","","","","","","",,,,,"",,,,"dnpm-lm-care-plan.studyEnrollmentRecommendations.studies.system",1,1,"",""
