"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"mii-ex-mtb-leitlinienbehandlung-status","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-ex-mtb-leitlinienbehandlung-status""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"mii-ex-mtb-leitlinienbehandlung-status","Extension.value[x]","Extension.value[x]","","","",1,1,"Y","","","Coding {[]} {[]}
","Leitlinienbehandlungsstatus","Status der Behandlung nach Leitline zum Zeitpunkt des Einschlusses ins MTB","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-ex-mtb-leitlinienbehandlung-status","Extension.value[x].id","Extension.value[x].id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-ex-mtb-leitlinienbehandlung-status","Extension.value[x].extension","Extension.value[x].extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-ex-mtb-leitlinienbehandlung-status","Extension.value[x].system","Extension.value[x].system","","","",1,1,"Y","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should reference to some definition that establishes the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/CodeSystem/mii-cs-mtb-leitlinienbehandlung-status""/>","","","","",,,,,"",,,,"Coding.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-ex-mtb-leitlinienbehandlung-status","Extension.value[x].version","Extension.value[x].version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured, and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-ex-mtb-leitlinienbehandlung-status","Extension.value[x].code","Extension.value[x].code","","","",1,1,"Y","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","","","","","",,"required","","https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-leitlinienbehandlung-status","",,,,"Coding.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-ex-mtb-leitlinienbehandlung-status","Extension.value[x].display","Extension.value[x].display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-ex-mtb-leitlinienbehandlung-status","Extension.value[x].userSelected","Extension.value[x].userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - e.g. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-ex-mtb-ngs-bericht-genomic-study","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","MII EX MTB NGS Bericht Metadaten","Metadaten des NGS-Berichts","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-ex-mtb-ngs-bericht-genomic-study","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-ex-mtb-ngs-bericht-genomic-study","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-ex-mtb-ngs-bericht-genomic-study","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-ex-mtb-ngs-bericht-genomic-study""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"mii-ex-mtb-ngs-bericht-genomic-study","Extension.value[x]","Extension.value[x]","","","",1,1,"Y","","","Reference {[]} {[CanonicalType[https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-genomic-study]]}
","Metadaten des NGS-Berichts","Genomic-Study mit Metadaten als Genomic-Study-Analysis des NGS-Berichts","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mtb","mii-lm-mtb","mii-lm-mtb","","","",0,*,"","","","null {[]} {[]}
","MII LM Molekulares Tumorboard","MII Logical Model Modul Molekulares Tumorboard","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mtb","mii-lm-mtb.id","mii-lm-mtb.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.extension","mii-lm-mtb.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode","mii-lm-mtb.Behandlungsepisode","","","",1,1,"","","","BackboneElement {[]} {[]}
","Behandlungsepisode","Behandlungsepisode","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.id","mii-lm-mtb.Behandlungsepisode.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.extension","mii-lm-mtb.Behandlungsepisode.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.modifierExtension","mii-lm-mtb.Behandlungsepisode.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Zeitraum","mii-lm-mtb.Behandlungsepisode.Zeitraum","","","",1,1,"","","","Period {[]} {[]}
","Zeitraum der Behandlungsepisode","Zeitraum von Einschluss bis Abschluss im Molekulare Tumorboard","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Zeitraum",1,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.KrankengeschichteFamilie","mii-lm-mtb.Behandlungsepisode.KrankengeschichteFamilie","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/FamilyMemberHistory]]}
","Verweis auf Krankengeschichte Familie","Verweis auf die familiäre Krankengeschichte","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.KrankengeschichteFamilie",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Vorbefund","mii-lm-mtb.Behandlungsepisode.Vorbefund","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DiagnosticReport], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}
","Verweis auf Vorbefund","Verweis auf relevanten Vorbefund","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Vorbefund",0,*,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.NGSBericht","mii-lm-mtb.Behandlungsepisode.NGSBericht","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DiagnosticReport]]}
","Verweis auf NGS Bericht","Verweis auf Next Generation Sequencing Bericht","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.NGSBericht",0,*,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.MolekularPathologieBefund","mii-lm-mtb.Behandlungsepisode.MolekularPathologieBefund","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DiagnosticReport]]}
","Verweis auf Molekular Pathologie Befund","Verweis auf Molekular Pathologie Befund","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.MolekularPathologieBefund",0,*,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.LeitlinieDokumentation","mii-lm-mtb.Behandlungsepisode.LeitlinieDokumentation","","","",0,1,"","","","Extension {[]} {[]}
","Leitlinie Dokumentation","Dokumentation zur Leitlinien-konformen Umsetzung der Prozedur","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.LeitlinieDokumentation",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.LeitlinienbehandlungStatus","mii-lm-mtb.Behandlungsepisode.LeitlinienbehandlungStatus","","","",0,1,"","","","code {[]} {[]}
","Status Leitlinienbehandlung","Status der Leitlinienbehandlung","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.LeitlinienbehandlungStatus",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Einwilligung","mii-lm-mtb.Behandlungsepisode.Einwilligung","","","",1,1,"","","","BackboneElement {[]} {[]}
","Einwilligung","Einwilligung zum Molekularen Tumorboard","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Einwilligung",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Einwilligung.id","mii-lm-mtb.Behandlungsepisode.Einwilligung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Einwilligung.extension","mii-lm-mtb.Behandlungsepisode.Einwilligung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Einwilligung.modifierExtension","mii-lm-mtb.Behandlungsepisode.Einwilligung.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Einwilligung.Status","mii-lm-mtb.Behandlungsepisode.Einwilligung.Status","","","",1,1,"","","","code {[]} {[]}
","Status Einwilligung","Status der Einwilligung zum Molekularen Tumorboard","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Einwilligung.Status",1,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose","mii-lm-mtb.Behandlungsepisode.Diagnose","","","",1,1,"","","","BackboneElement {[]} {[]}
","Diagnose","Diagnose","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Diagnose",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.id","mii-lm-mtb.Behandlungsepisode.Diagnose.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.extension","mii-lm-mtb.Behandlungsepisode.Diagnose.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.modifierExtension","mii-lm-mtb.Behandlungsepisode.Diagnose.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.WHOGradZNS","mii-lm-mtb.Behandlungsepisode.Diagnose.WHOGradZNS","","","",0,1,"","","","code {[]} {[]}
","WHO-Grad ZNS Tumor","Grad des Tumors nach WHO Klassifikation der Tumoren des zentralen Nervensystems (ZNS)","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Diagnose.WHOGradZNS",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.OncoTree","mii-lm-mtb.Behandlungsepisode.Diagnose.OncoTree","","","",0,1,"","","","code {[]} {[]}
","OncoTree Classification","Klassifizierung eines Tumor nach OncoTree","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Diagnose.OncoTree",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED","","","",0,1,"","","","BackboneElement {[]} {[]}
","Tumorausbreitung ED","Tumorausbreitung zum Zeitpunkt der Erstdiagnose","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.id","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.extension","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.modifierExtension","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.Wert","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.Wert","","","",1,1,"","","","code {[]} {[]}
","Wert","Wert Tumorausbreitung","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.Wert",1,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.Zeitpunkt","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.Zeitpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","Zeitpunkt","Zeitpunkt der Tumorausbreitung","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungED.Zeitpunkt",1,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungMTB","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungMTB","","","",0,1,"","","","BackboneElement {[]} {[]}
","Tumorausbreitung MTB","Tumorausbreitung zum Zeitpunkt der MTB-Anmeldung","","","","","","","","","",,,,,"",,,,"mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungMTB",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungMTB.id","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungMTB.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mtb","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungMTB.extension","mii-lm-mtb.Behandlungsepisode.Diagnose.TumorausbreitungMTB.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
